Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
13581476,FLCL Omnibus,Gainax,"Gainax, Gainax",Hajime Ueda,1595828680,9781595828682,0,3.88,Dark Horse Comics,Paperback,392,2012,2012,,8/29/18,"owned, currently-reading","owned (#168), currently-reading (#7)",currently-reading,,,,1,,,0,,,,,
34128219,"La Belle Sauvage (The Book of Dust, #1)",Philip Pullman,"Pullman, Philip",,0375815309,9780375815300,4,4.2,Alfred A. Knopf,Hardcover,464,2017,2017,8/30/18,11/20/17,owned,owned (#160),read,,,,1,,,0,,,,,
4025275,War's Unwomanly Face,Svetlana Alexievich,"Alexievich, Svetlana",,5010004941,9785010004941,5,4.52,Progress Publishers,Hardcover,247,1988,1985,8/13/18,12/5/17,,,read,,,,1,,,0,,,,,
36521370,Cherry,Nico Walker,"Walker, Nico",,178733094X,9781787330948,0,4.02,Jonathan Cape,Hardcover,336,2019,,,8/13/18,to-read,to-read (#114),to-read,,,,0,,,0,,,,,
15177,"Bridge of Birds (The Chronicles of Master Li and Number Ten Ox, #1)",Barry Hughart,"Hughart, Barry",,0345321383,9780345321381,0,4.29,Del Rey,Paperback,278,1985,1984,,7/25/18,to-read,to-read (#113),to-read,,,,0,,,0,,,,,
60926,"Lilith's Brood (Xenogenesis, #1-3)",Octavia E. Butler,"Butler, Octavia E.",,0446676101,9780446676106,0,4.32,Grand Central Publishing,Paperback,746,2000,1987,,7/25/18,to-read,to-read (#112),to-read,,,,0,,,0,,,,,
35758538,"Kill or be Killed, Vol. 3 (Kill or be Killed, #3)",Ed Brubaker,"Brubaker, Ed","Sean Phillips, Elizabeth Breitweiser",1534304711,9781534304710,5,4.32,Image Comics,Paperback,120,2018,2018,7/15/18,7/14/18,owned,owned (#167),read,,,,1,,,0,,,,,
11340,Jazz,Toni Morrison,"Morrison, Toni",,0679411674,9780679411673,4,3.79,Alfred A. Knopf,Hardcover,229,1992,1992,7/14/18,1/24/18,,,read,,,,1,,,0,,,,,
18045891,Sharp Objects,Gillian Flynn,"Flynn, Gillian",,,,0,3.94,Broadway Paperbacks,Paperback,254,2006,2006,,7/6/18,to-read,to-read (#111),to-read,,,,0,,,0,,,,,
400354,"Men at Arms (Discworld, #15; City Watch #2)",Terry Pratchett,"Pratchett, Terry",,0061092193,9780061092190,0,4.37,HarperPrism,Mass Market Paperback,377,2003,1993,,7/2/18,to-read,to-read (#110),to-read,,,,0,,,0,,,,,
36019950,The Food Explorer: The True Adventures of the Globe-Trotting Botanist Who Transformed the American Dinner Table,Daniel Stone,"Stone, Daniel",,1101990600,9781101990605,4,4.1,New American Library,Unknown Binding,,2018,2018,6/18/18,2/20/18,owned,owned (#165),read,,,,1,,,0,,,,,
31933085,Less,Andrew Sean Greer,"Greer, Andrew Sean",,0316465186,9780316465182,0,3.86,Lee Boudreaux Books,ebook,272,2017,2017,,6/11/18,to-read,to-read (#109),to-read,,,,0,,,0,,,,,
33313,Kitchen Confidential: Adventures in the Culinary Underbelly,Anthony Bourdain,"Bourdain, Anthony",,0060899220,9780060899226,0,4.03,Ecco/Harper Perennial,Paperback,312,2007,2000,,6/8/18,to-read,to-read (#108),to-read,,,,0,,,0,,,,,
