Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
100915,"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,"Lewis, C.S.",,0060764899,9780060764890,5,4.2,HarperCollins Publishers,Paperback,206,2005,1950,,11/30/13,fantasy,fantasy (#27),read,,,,1,,,0,,,,,
2493,The Time Machine,H.G. Wells,"Wells, H.G.","Carlo Pagetti, Greg Bear",0451528557,9780451528551,3,3.88,Signet Classics,Paperback,118,2002,1895,,11/30/13,scifi,scifi (#9),read,,,,1,,,0,,,,,
3636,"The Giver (The Giver, #1)",Lois Lowry,"Lowry, Lois",,0385732554,9780385732550,5,4.12,Ember,Paperback,208,2006,1993,,11/30/13,fantasy,fantasy (#26),read,,,,1,,,0,,,,,
3,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,"Rowling, J.K.",Mary GrandPr̩,0439554934,9780439554930,5,4.46,Scholastic Inc,Hardcover,320,1997,1997,,11/30/13,fantasy,fantasy (#25),read,,,,1,,,0,,,,,
13496,"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,"Martin, George R.R.",,0553588486,9780553588484,4,4.45,Bantam,Mass Market Paperback,848,2005,1996,,11/30/13,fantasy,fantasy (#24),read,,,,1,,,0,,,,,
4407,"American Gods (American Gods, #1)",Neil Gaiman,"Gaiman, Neil",,0747263744,9780747263746,5,4.11,Headline Review,Paperback,635,2005,2001,,11/30/13,fantasy,fantasy (#23),read,,,,1,,,0,,,,,
41865,"Twilight (Twilight, #1)",Stephenie Meyer,"Meyer, Stephenie",,0316015849,9780316015844,4,3.58,"Little, Brown and Company",Paperback,498,2006,2005,,11/30/13,fantasy,fantasy (#22),read,,,,1,,,0,,,,,
12067,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",Terry Pratchett,"Pratchett, Terry",Neil Gaiman,0060853980,9780060853983,5,4.25,William Morrow,Mass Market Paperback,412,2006,1990,,11/30/13,fantasy,fantasy (#21),read,,,,1,,,0,,,,,
37442,"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)",Gregory Maguire,"Maguire, Gregory",Douglas Smith,0060987103,9780060987107,3,3.52,William Morrow Paperbacks,Paperback,406,2000,1995,,11/30/13,fantasy,fantasy (#20),read,,,,1,,,0,,,,,
29127,"The Last Unicorn (The Last Unicorn, #1)",Peter S. Beagle,"Beagle, Peter S.",,0451450523,9780451450524,3,4.18,Penguin Roc,Paperback,294,2008,1968,,11/30/13,fantasy,fantasy (#19),read,,,,1,,,0,,,,,
47212,"Storm Front (The Dresden Files, #1)",Jim Butcher,"Butcher, Jim",,0451457811,9780451457813,4,4.02,Penguin ROC,Mass Market Paperback,322,2000,2000,,11/30/13,fantasy,fantasy (#18),read,,,,1,,,0,,,,,
402045,"The Mists of Avalon (Avalon, #1)",Marion Zimmer Bradley,"Bradley, Marion Zimmer",,0345350499,9780345350497,4,4.12,Ballantine Books,Paperback,884,1984,1982,,11/30/13,fantasy,fantasy (#17),read,,,,1,,,0,,,,,
10692,The Historian,Elizabeth Kostova,"Kostova, Elizabeth",,0751537284,9780751537284,3,3.78,Time Warner Books,Paperback,704,2005,2005,,11/30/13,fantasy,fantasy (#16),read,,,,1,,,0,,,,,
14497,"Neverwhere (London Below, #1)",Neil Gaiman,"Gaiman, Neil",,0060557818,9780060557812,4,4.17,William Morrow Paperbacks,Paperback,370,2003,1996,,11/30/13,fantasy,fantasy (#15),read,,,,1,,,0,,,,,
375802,"Ender's Game (Ender's Saga, #1)",Orson Scott Card,"Card, Orson Scott",,0812550706,9780812550702,3,4.3,TOR,Mass Market Paperback,324,1994,1985,,11/30/13,scifi,scifi (#8),read,,,,1,,,0,,,,,
830,Snow Crash,Neal Stephenson,"Stephenson, Neal",,0553380958,9780553380958,4,4.03,Bantam Books,Paperback,438,2000,1992,,11/30/13,scifi,scifi (#7),read,,,,1,,,0,,,,,
15177,"Bridge of Birds (The Chronicles of Master Li and Number Ten Ox, #1)",Barry Hughart,"Hughart, Barry",,0345321383,9780345321381,5,4.29,Del Rey,Paperback,278,1985,1984,,7/25/18,fantasy,fantasy (#14),read,Fun Asian Fantasy meets Sherlock Holmes. Very enjoyable.,,,1,,,0,,,,,
186074,"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss,"Rothfuss, Patrick",,075640407X,9780756404079,5,4.55,Penguin Group DAW,Hardcover,662,2007,2007,,7/25/18,fantasy,fantasy (#13),read,,,,1,,,0,,,,,
1215032,"The Wise Man's Fear (The Kingkiller Chronicle, #2)",Patrick Rothfuss,"Rothfuss, Patrick",,0756404738,9780756404734,5,4.58,DAW Books,Hardcover,994,2011,2011,,7/25/18,fantasy,fantasy (#12),read,,,,1,,,0,,,,,
29588376,"The Lies of Locke Lamora (Gentleman Bastard, #1)",Scott Lynch,"Lynch, Scott",,,,5,4.3,Spectra,Kindle Edition,752,2006,2006,,7/25/18,fantasy,fantasy (#11),read,,,,1,,,0,,,,,
9969571,"Ready Player One (Ready Player One, #1)",Ernest Cline,"Cline, Ernest",,030788743X,9780307887436,5,4.29,Crown Publishers,Hardcover,374,2011,2011,,7/25/18,scifi,scifi (#6),read,,,,1,,,0,,,,,
7235533,"The Way of Kings (The Stormlight Archive, #1)",Brandon Sanderson,"Sanderson, Brandon",,0765326353,9780765326355,5,4.65,Tor Books,Hardcover,1007,2010,2010,,7/25/18,fantasy,fantasy (#10),read,,,,1,,,0,,,,,
17332218,"Words of Radiance (The Stormlight Archive, #2)",Brandon Sanderson,"Sanderson, Brandon",,0765326361,9780765326362,5,4.77,Tor Books,Hardcover,1087,2014,2014,8/21/18,7/25/18,fantasy,fantasy (#9),read,,,,2,,,0,,,,,
15783514,The Ocean at the End of the Lane,Neil Gaiman,"Gaiman, Neil",,0062255657,9780062255655,4,3.99,William Morrow Books,Hardcover,181,2013,2013,,8/27/18,fantasy,fantasy (#8),read,,,,1,,,0,,,,,
21787,The Princess Bride,William Goldman,"Goldman, William",,0345418263,9780345418265,4,4.25,Ballantine Books (Ballantine Reader's Circle),Paperback,398,2003,1973,,8/27/18,fantasy,fantasy (#7),read,,,,1,,,0,,,,,
82192,"The Crystal Cave (Arthurian Saga, #1)",Mary  Stewart,"Stewart, Mary",,0060548258,9780060548254,3,4.13,Eos,Paperback,494,2003,1970,,8/27/18,fantasy,fantasy (#6),read,,,,1,,,0,,,,,
386162,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,"Adams, Douglas",,0345418913,9780345418913,4,4.21,Del Rey,Paperback,193,1997,1979,,8/27/18,scifi,scifi (#5),read,,,,1,,,0,,,,,
234225,"Dune (Dune Chronicles, #1)",Frank Herbert,"Herbert, Frank",,0340839937,9780340839935,4,4.21,Hodder & Stoughton,Paperback,604,2006,1965,,8/27/18,scifi,scifi (#4),read,,,,1,,,0,,,,,
29579,Foundation (Foundation #1),Isaac Asimov,"Asimov, Isaac",,0553803719,9780553803716,4,4.15,Bantam,Hardcover,244,2004,1951,,8/27/18,scifi,scifi (#3),read,,,,1,,,0,,,,,
36402034,Do Androids Dream of Electric Sheep?,Philip K. Dick,"Dick, Philip K.",,,,4,4.08,Ballantine Books,Kindle Edition,258,2008,1968,,8/27/18,scifi,scifi (#2),read,,,,1,,,0,,,,,
18007564,The Martian,Andy Weir,"Weir, Andy",,0804139024,9780804139021,5,4.4,Crown,Hardcover,369,2014,2012,8/30/18,8/27/18,scifi,scifi (#1),read,,,,2,,,0,,,,,
68428,"The Final Empire (Mistborn, #1)",Brandon Sanderson,"Sanderson, Brandon",,076531178X,9780765311788,4,4.44,Tor Books,Hardcover,541,2006,2006,,8/27/18,fantasy,fantasy (#5),read,,,,1,,,0,,,,,
68429,"The Well of Ascension (Mistborn, #2)",Brandon Sanderson,"Sanderson, Brandon",,0765316889,9780765316882,4,4.36,Tor Books,Hardcover,590,2007,2007,,8/27/18,fantasy,fantasy (#4),read,,,,1,,,0,,,,,
2767793,"The Hero of Ages (Mistborn, #3)",Brandon Sanderson,"Sanderson, Brandon",,0765316897,9780765316899,4,4.47,Tor Books,Hardcover,572,2008,2008,,8/27/18,fantasy,fantasy (#3),read,,,,1,,,0,,,,,
10964,"Outlander (Outlander, #1)",Diana Gabaldon,"Gabaldon, Diana",,0440242940,9780440242949,4,4.22,Dell Publishing Company,Mass Market Paperback,850,2005,1991,,8/27/18,fantasy,fantasy (#2),read,,,,1,,,0,,,,,
5364,"Dragonfly in Amber (Outlander, #2)",Diana Gabaldon,"Gabaldon, Diana",,0385335970,9780385335973,2,4.32,Bantam,Paperback,743,2001,1992,,8/27/18,fantasy,fantasy (#1),read,,,,1,,,0,,,,,
15727792,"Chu's Day (Chu, #1)",Neil Gaiman,"Gaiman, Neil",Adam Rex,0062017810,9780062017819,4,3.85,HarperCollins Children's,Hardcover,30,2013,2013,,8/30/18,kids,kids (#4),read,"A story about a little panda with a big sneeze. It isn't really my favorite, but the kids LOVE it! ",,,1,,,0,,,,,
